Station ID,Station Name,Station Latitude,Station Longitude,end station id
359,E 47 St & Park Ave,40.75510267,-73.97498696,359
3714,Division Av & Hooper St,40.70684203101325,-73.9544353965357,3714
261,Johnson St & Gold St,40.69474881,-73.98362464,261
534,Water - Whitehall Plaza,40.70255065,-74.0127234,534
224,Spruce St & Nassau St,40.71146364,-74.00552427,224
494,W 26 St & 8 Ave,40.74734825,-73.99723551,494
3790,Henry St & Middagh St,40.7003,-73.991581,3790
3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,3175
3226,W 82 St & Central Park West,40.78275,-73.97137,3226
3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627,3641
3583,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,3583
495,W 47 St & 10 Ave,40.76269882,-73.99301222,495
3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,3349
3132,E 59 St & Madison Ave,40.76350532,-73.97109243,3132
3565,36 Ave & 10 St,40.7614376,-73.9411265,3565
402,Broadway & E 22 St,40.7403432,-73.98955109,402
448,W 37 St & 10 Ave,40.75660359,-73.9979009,448
480,W 53 St & 10 Ave,40.76669671,-73.99061728,480
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,380
3456,Jackson St & Leonard St,40.71638031973561,-73.94821286201477,3456
268,Howard St & Centre St,40.71910537,-73.99973337,268
524,W 43 St & 6 Ave,40.75527307,-73.98316936,524
516,E 47 St & 1 Ave,40.75206862,-73.96784384,516
482,W 15 St & 7 Ave,40.73935542,-73.99931783,482
3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,3256
3606,49 Ave & 21 St,40.74252,-73.948852,3606
173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,173
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,443
3338,2 Ave & E 99 St,40.7862586,-73.94552579,3338
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,321
3554,Vernon Blvd & 41 Rd,40.7552433,-73.9485678,3554
239,Willoughby St & Fleet St,40.69196566,-73.9813018,239
291,Madison St & Montgomery St,40.713126,-73.984844,291
3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,3339
3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189606,3259
3336,E 97 St & Madison Ave,40.787801,-73.953559,3336
3085,Roebling St & N 4 St,40.71469,-73.95739,3085
462,W 22 St & 10 Ave,40.74691959,-74.00451887,462
3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,3611
365,Fulton St & Grand Ave,40.68223166,-73.9614583,365
3298,Warren St & Court St,40.686371,-73.99383324,3298
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,161
3558,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,3558
385,E 55 St & 2 Ave,40.75797322,-73.96603308,385
143,Clinton St & Joralemon St,40.69239502,-73.99337909,143
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,3056
3162,W 78 St & Broadway,40.78339981,-73.98093133,3162
3042,Fulton St & Utica Ave,40.6794268,-73.9298911,3042
315,South St & Gouverneur Ln,40.70355377,-74.00670227,315
3130,21 St & Queens Plaza North,40.75325964,-73.94335788,3130
3150,E 85 St & York Ave,40.77536905,-73.94803392,3150
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,353
150,E 2 St & Avenue C,40.7208736,-73.98085795,150
500,Broadway & W 51 St,40.76228826,-73.98336183,500
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,274
3649,W 129 St & Convent Ave,40.814394437915816,-73.95324736833572,3649
459,W 20 St & 11 Ave,40.746745,-74.007756,459
238,Bank St & Washington St,40.7361967,-74.00859207,238
3376,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,3376
3072,Leonard St & Boerum St,40.70583339,-73.94644578,3072
530,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,530
3693,N 11 St & Kent Ave,40.72248188638219,-73.95921930670738,3693
325,E 19 St & 3 Ave,40.73624527,-73.98473765,325
361,Allen St & Hester St,40.71605866,-73.99190759,361
3292,5 Ave & E 93 St,40.7857851,-73.957481,3292
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,3172
485,W 37 St & 5 Ave,40.75038009,-73.98338988,485
2022,E 60 St & York Ave,40.759107,-73.959223,2022
3408,Congress St & Clinton St,40.6881529,-73.99520919,3408
3416,7 Ave & Park Pl,40.6776147,-73.97324283,3416
3778,Irving Ave & DeKalb Ave,40.7027,-73.92095,3778
